date,cpi_yoy_nfne,wui_lag_4,wui_lag_2,cpi_rolling_12q,wui_rolling_12q,shock_gfc,shock_covid
2019-10-01,10.584192666666668,26443.05,40489.04,13.32827975,29014.1775,0,0
2020-01-01,12.41196,36588.02,32800.98,13.523042138888888,31162.060833333333,0,1
2020-04-01,12.248786666666668,40489.04,52716.26,13.658196583333334,32195.395833333332,0,1
2020-07-01,11.699663333333334,32800.98,55684.71,13.75988575,33126.40583333333,0,1
2020-10-01,13.150266666666669,52716.26,28914.37,13.867330194444444,32619.994166666667,0,1
2021-01-01,15.76388,55684.71,27497.73,14.286100750000001,32475.541666666668,0,1
2021-04-01,16.612913333333335,28914.37,22319.62,14.653774083333333,31843.84,0,1
2021-07-01,15.665876666666668,27497.73,11888.73,14.487563805555554,31243.656666666666,0,1
2021-10-01,21.34575666666667,22319.62,18072.81,14.598746861111112,30690.290000000005,0,1
2022-01-01,44.164673333333326,11888.73,21508.56,16.876237694444445,29845.873333333333,0,1
2022-04-01,56.35893000000001,18072.81,19802.65,20.288726305555556,28917.09,0,1
2022-07-01,67.11905666666667,21508.56,26455.02,24.760496333333336,28225.73833333333,0,1
2022-10-01,65.52586000000001,19802.65,29343.64,29.338968611111113,26041.08583333333,0,1
2023-01-01,51.53179333333333,26455.02,24504.76,32.598954722222224,23600.6975,0,1
2023-04-01,46.51217666666667,29343.64,26500.43,35.454237222222226,23749.7,0,1
2023-07-01,63.040616666666665,24504.76,26400.05,39.73265,22950.329166666666,0,1
2023-10-01,69.94116000000001,26500.43,30702.4,44.46522444444445,22478.32083333333,0,1
2024-01-01,71.59610666666667,26400.05,17905.28,49.11791,22824.5025,0,1
2024-04-01,73.68670666666667,30702.4,16655.52,53.87405944444444,22576.492499999997,0,1
2024-07-01,53.90903333333333,17905.28,16042.91,57.060989166666666,22389.38333333333,0,1
2024-10-01,46.32565333333333,16655.52,15096.69,59.14264722222222,22936.683333333334,0,1
2025-01-01,40.48714666666667,16042.91,19263.25,58.83618666666667,24744.24,0,1
2025-04-01,37.58099,15096.69,26370.25,57.27135833333333,28968.781666666666,0,1
